#Reg ID	X(")	Y(")	LogAge	[Fe/H]VI	logg	E(B-V)	V	eV	VI	eVI	RA(deg)	Dec(deg)
6 54379 -76.55100 -197.41000 9.65000 -1.21276 0.78389 0.03739 22.722 0.008 1.380 0.009 0.47000 -15.51567
6 54495 -76.22200 40.22300 8.15000 0.06040 1.61756 0.03646 22.920 0.013 1.261 0.015 0.47013 -15.44967
6 6841 -75.91820 90.26420 8.20000 -0.20292 1.69867 0.03800 22.51 0.08 1.06 0.1 0.5123384 -15.4889623
6 6837 -75.56330 176.05200 8.90000 -1.21135 1.41550 0.03800 22.84 0.12 1.13 0.162788 0.5122398 -15.5127922
6 54969 -74.60700 29.93700 9.30000 -0.95882 0.87394 0.03646 22.656 0.006 1.373 0.008 0.47058 -15.45253
6 55013 -74.45000 100.02100 9.75000 -1.21643 0.96355 0.03574 23.085 0.007 1.324 0.011 0.47063 -15.43306
6 55136 -74.05200 238.71100 9.65000 -1.21273 0.66481 0.03362 22.571 0.012 1.434 0.013 0.47075 -15.39453
6 6821 -73.55700 55.42780 8.10000 0.06019 1.27338 0.14646 22.83 0.10 1.56 0.111803 0.5116825 -15.4792855
6 55537 -72.53400 -141.11000 9.60000 -1.21232 0.62042 0.03739 22.516 0.006 1.472 0.008 0.47117 -15.50003
6 6802 -72.22180 118.55700 9.90000 -1.22052 0.40419 0.03800 22.54 0.09 1.58 0.102956 0.5113116 -15.4968214
6 6801 -72.19120 153.38901 9.90000 -0.96848 0.65367 0.03800 22.95 0.11 1.5 0.1253 0.5113031 -15.5064970
6 55639 -72.17900 -40.68800 7.80000 -0.72078 1.78714 0.61280 22.931 0.010 1.375 0.013 0.47129 -15.47214
6 6791 -71.63390 131.66800 9.80000 -1.21686 0.55464 0.03800 22.60 0.07 1.49 0.0860233 0.5111483 -15.5004634
6 55799 -71.58200 -84.77100 9.70000 -1.21502 0.96743 0.03744 23.051 0.018 1.322 0.020 0.47146 -15.48439
6 55896 -71.21100 -118.54400 9.40000 -1.21016 0.73802 0.04705 22.507 0.006 1.419 0.009 0.47154 -15.49375
6 55909 -71.16400 -46.73000 9.35000 -0.95990 1.05458 0.04780 23.036 0.007 1.332 0.011 0.47158 -15.47381
6 55984 -70.93800 24.85900 9.40000 -1.20970 0.98952 0.06646 22.850 0.016 1.323 0.019 0.47163 -15.45392
6 56057 -70.72300 -49.72400 9.65000 -1.21273 0.84009 0.03780 22.797 0.007 1.359 0.009 0.47171 -15.47464
6 56221 -70.10000 100.72000 8.50000 -0.19956 1.42889 0.03574 22.863 0.007 1.282 0.009 0.47188 -15.43286
6 56419 -69.40500 219.24400 9.55000 -1.21079 0.83765 0.03366 22.675 0.009 1.346 0.011 0.47208 -15.39994
6 56525 -69.03800 160.87000 8.25000 0.06063 1.60239 0.03574 22.936 0.007 1.270 0.011 0.47221 -15.41614
6 56589 -68.84100 284.70599 9.45000 -0.95924 0.77466 0.03362 22.679 0.005 1.421 0.007 0.47225 -15.38175
6 56678 -68.57700 103.29300 9.20000 -0.70731 0.62645 0.03574 22.494 0.008 1.575 0.010 0.47233 -15.43214
6 56739 -68.37700 -205.25101 8.00000 0.61342 1.58024 0.03739 22.985 0.007 1.432 0.009 0.47238 -15.51783
6 6745 -68.13220 150.31200 8.45000 -0.71536 1.12452 0.03800 22.07 0.05 1.26 0.0640312 0.5101756 -15.5056421
6 56833 -68.05200 205.97099 10.10000 -1.23194 0.71874 0.03366 23.023 0.008 1.384 0.011 0.47246 -15.40361
6 6720 -66.38870 187.16901 7.80000 0.59126 1.76929 0.03800 22.21 0.09 1.06 0.108167 0.5096913 -15.5158803
6 57380 -66.30200 -65.49300 8.80000 -0.96211 1.58681 0.03744 23.091 0.012 1.110 0.016 0.47296 -15.47903
6 6712 -65.76010 106.33600 9.85000 -0.20660 -0.11345 0.03800 22.14 0.06 1.75 0.067082 0.5095167 -15.4934268
6 57595 -65.61600 -65.81600 10.30000 -1.25100 0.71169 0.03744 23.060 0.008 1.358 0.015 0.47317 -15.47911
6 57971 -64.28800 58.59000 9.45000 -0.95924 0.70342 0.03646 22.609 0.006 1.463 0.009 0.47354 -15.44456
6 57998 -64.23100 84.64700 8.60000 -0.71263 1.03521 0.14646 22.500 0.006 1.450 0.009 0.47358 -15.43731
6 58002 -64.22700 63.52400 9.75000 -1.21527 0.53918 0.03646 22.547 0.009 1.497 0.012 0.47358 -15.44319
6 6681 -63.84280 72.49250 8.50000 -0.45757 0.93193 0.14646 22.43 0.07 1.56 0.0806226 0.5089841 -15.4840257
6 6673 -63.59470 82.72660 8.30000 -1.21911 1.71353 0.14646 22.56 0.11 1.03 0.1253 0.5089152 -15.4868685
6 58231 -63.41200 18.73500 9.50000 -1.16306 0.60950 0.03646 22.421 0.011 1.465 0.013 0.47379 -15.45564
6 58509 -62.50100 144.93600 8.60000 -0.19856 1.43327 0.03574 22.998 0.014 1.290 0.018 0.47408 -15.42058
6 58533 -62.42100 -188.46800 9.60000 -1.21175 0.75964 0.03739 22.639 0.004 1.389 0.007 0.47408 -15.51319
6 6653 -62.33940 158.87801 8.25000 -0.96951 1.75036 0.03800 22.77 0.10 1.03 0.128062 0.5085665 -15.5080217
6 58599 -62.19000 107.50200 9.65000 -0.96112 0.84223 0.03574 22.943 0.005 1.396 0.009 0.47417 -15.43097
6 58702 -61.84700 69.71000 8.15000 0.06017 1.73986 0.14646 22.983 0.008 1.232 0.012 0.47425 -15.44147
6 58718 -61.77500 111.67600 7.90000 0.31324 1.47829 0.03574 22.666 0.006 1.404 0.009 0.47429 -15.42981
6 58813 -61.49300 226.12100 10.20000 -1.24159 0.70457 0.03366 23.018 0.006 1.398 0.009 0.47438 -15.39803
6 58958 -61.04500 -288.01099 9.15000 -0.70801 1.13796 0.03519 23.075 0.006 1.331 0.008 0.47450 -15.54083
6 59113 -60.59300 70.55700 8.15000 -0.20382 1.49373 0.14646 22.794 0.005 1.342 0.009 0.47463 -15.44122
6 59121 -60.56600 -383.91901 8.35000 0.06117 1.57887 0.03260 23.044 0.007 1.291 0.008 0.47463 -15.56747
6 59128 -60.54100 35.35700 9.20000 -0.70732 0.69967 0.03721 22.562 0.013 1.535 0.014 0.47463 -15.45100
6 6620 -60.48110 106.01400 10.00000 -1.22556 -0.20109 0.03800 22.27 0.06 2.02 0.067082 0.5080503 -15.4933371
6 59153 -60.46900 68.33300 9.35000 -0.95903 0.87815 0.03721 22.711 0.010 1.374 0.013 0.47467 -15.44186
6 6615 -60.21040 159.86400 8.50000 -0.71477 1.59501 0.03800 22.82 0.10 1.11 0.128062 0.5079751 -15.5082956
6 59248 -60.16000 37.74200 9.95000 -1.22292 0.84274 0.03721 23.048 0.009 1.354 0.013 0.47475 -15.45036
6 59337 -59.90600 191.16901 8.05000 0.32976 1.57960 0.03366 22.970 0.004 1.373 0.008 0.47483 -15.40772
6 6606 -59.74310 112.78300 9.50000 -1.21017 0.75830 0.03800 22.56 0.07 1.39 0.0860233 0.5078453 -15.4952175
6 59423 -59.64400 30.71500 8.40000 -0.20055 1.68587 0.03721 23.067 0.012 1.170 0.016 0.47488 -15.45231
6 6598 -59.40790 55.35470 9.05000 -0.40908 0.25227 0.03800 22.60 0.07 2.1 0.0761577 0.5077522 -15.4792652
6 59932 -58.10400 204.49699 9.70000 -1.21398 0.80159 0.03366 22.764 0.004 1.368 0.008 0.47533 -15.40403
6 6555 -57.94600 133.41701 10.20000 -1.15566 0.46062 0.03800 22.67 0.08 1.44 0.0943398 0.5073461 -15.5009493
6 60030 -57.79700 495.86200 9.40000 -0.95918 1.13490 0.03170 23.075 0.005 1.264 0.008 0.47542 -15.32308
6 60112 -57.58600 123.31000 9.75000 -1.21525 0.66465 0.03549 22.677 0.012 1.432 0.014 0.47550 -15.42658
6 60202 -57.30900 3.38700 7.95000 0.31060 1.78430 0.03807 23.031 0.006 1.248 0.010 0.47558 -15.45989
6 60303 -57.05300 15.60000 7.90000 0.32952 1.49759 0.03721 22.587 0.006 1.364 0.008 0.47563 -15.45650
6 60329 -56.98300 55.84600 8.35000 -0.20042 1.63854 0.03721 23.078 0.007 1.208 0.013 0.47567 -15.44533
6 60432 -56.66300 -259.35300 9.40000 -1.20966 0.58991 0.09519 22.483 0.009 1.542 0.010 0.47575 -15.53289
6 60440 -56.63600 327.85300 8.70000 -0.45468 1.28871 0.03269 22.746 0.010 1.278 0.011 0.47575 -15.36975
6 6508 -56.31800 149.32401 9.75000 -0.96337 0.49244 0.03800 22.76 0.11 1.59 0.12083 0.5068939 -15.5053679
6 6507 -56.31260 -8.06508 6.85000 0.59429 2.65761 1.18807 22.42 0.07 1.32 0.0860233 0.5068924 -15.4616486
6 60622 -56.08100 136.71899 8.30000 -0.46116 1.71590 0.03549 22.960 0.010 1.116 0.014 0.47592 -15.42286
6 6491 -55.77660 80.12840 8.40000 -0.71651 1.31322 0.14646 22.62 0.07 1.33 0.0860233 0.5067435 -15.4861468
6 60766 -55.62400 -265.17001 8.55000 -0.19894 1.39976 0.03435 22.887 0.007 1.296 0.010 0.47604 -15.53450
6 60805 -55.52100 -42.25100 9.55000 -1.19462 0.64460 0.03807 22.528 0.006 1.447 0.008 0.47608 -15.47256
6 6467 -55.17900 57.04560 8.80000 -0.45406 1.25076 0.03800 22.84 0.11 1.31 0.1253 0.5065775 -15.4797349
6 60910 -55.17400 -24.88000 8.50000 -0.19955 1.26127 0.05807 22.730 0.007 1.381 0.010 0.47617 -15.46775
6 60947 -55.06500 -646.49500 9.00000 -0.45602 0.85302 0.03186 22.629 0.010 1.524 0.012 0.47621 -15.64042
6 6463 -55.01920 -10.83640 7.20000 -0.46721 2.15050 1.18807 22.61 0.08 1.49 0.0943398 0.5065331 -15.4608788
6 6454 -54.85140 131.53700 9.35000 -0.64205 0.43553 0.03800 22.67 0.08 1.78 0.0894427 0.5064865 -15.5004270
6 61094 -54.66100 564.04199 9.60000 -0.96035 1.00377 0.03131 23.078 0.007 1.317 0.009 0.47633 -15.30417
6 6419 -54.00760 56.93470 9.20000 -0.45578 0.58553 0.03800 22.75 0.09 1.74 0.0984886 0.5062521 -15.4797041
6 61360 -53.89800 91.61000 9.60000 -1.21179 0.82982 0.03549 22.716 0.006 1.355 0.009 0.47654 -15.43539
6 61431 -53.71700 -91.98800 8.20000 0.06039 1.46927 0.07744 22.839 0.007 1.370 0.010 0.47658 -15.48639
6 61437 -53.70200 212.14700 9.55000 -1.21174 0.95787 0.03482 22.895 0.006 1.318 0.009 0.47663 -15.40192
6 6389 -53.42330 113.04300 8.75000 -0.96346 1.27770 0.03800 22.55 0.07 1.2 0.0860233 0.5060898 -15.4952898
6 61679 -52.90100 33.51000 8.65000 -0.96607 1.45032 0.03721 22.695 0.007 1.129 0.011 0.47683 -15.45153
6 6366 -52.89080 -21.04090 9.25000 -0.70746 0.13769 0.05807 22.42 0.06 2.01 0.067082 0.5059419 -15.4580442
6 61750 -52.70700 -689.28198 9.00000 -0.70893 0.90428 0.03186 22.468 0.009 1.405 0.011 0.47688 -15.65231
6 61796 -52.59600 -90.25200 8.95000 -0.70850 1.26796 0.07744 23.015 0.012 1.303 0.014 0.47692 -15.48589
6 6356 -52.58300 1.78092 6.40000 0.11021 5.18195 1.18807 22.93 0.14 1.06 0.19105 0.5058564 -15.4643836
